record_id,paper_id,sample_label,data_origin,matrix_class,matrix_name,particle_type,particle_grade,particle_true_density_g_cc,particle_mean_diameter_um,particle_wall_thickness_ratio,particle_volume_fraction,particle_weight_fraction,process_route,cure_or_process_temperature_c,additional_fillers,measured_density_g_cc,theoretical_density_g_cc,matrix_porosity_fraction,particle_breakage_fraction,test_type,strain_rate_per_s,temperature_c,standard,modulus_mpa,strength_mpa,strain_at_failure,energy_absorption_mj_m3,plateau_stress_mpa,densification_strain,specific_modulus_mpa_per_g_cc,specific_strength_mpa_per_g_cc,storage_modulus_mpa,loss_tangent,thermal_conductivity_w_mk,cte_per_k,moisture_uptake_pct,extractor_confidence,flags
W3103969871-017,W3103969871,"cp-Al/Al2O3 (Hao [60], quasi-static)",primary,aluminum,cp-Al,ceramic_hollow,Al2O3 hollow spheres,,,,,,stir_casting,,,,,,,compression,,,ISO 13314,,61.5,,,46.5,0.46,,,,,,,,0.65,
W3103969871-018,W3103969871,"cp-Al/Cenosphere (Akinwekomi [61], quasi-static)",primary,aluminum,cp-Al,fly_ash_cenosphere,,,,,,,powder_metallurgy,,,,,,,compression,,,ISO 13314,,38.6,,,26.8,0.6,,,,,,,,0.65,
W3103969871-019,W3103969871,"Al 2014/Cenosphere (Goel [36], dynamic)",primary,aluminum,Al 2014,fly_ash_cenosphere,"Cenospheres, 75-150 µm",,,,,,stir_casting,,,,,,,compression,,,ISO 13314,,572.0,,,,0.4,,,,,,,,0.65,
W2802757567-000,W2802757567,100:10:1.98 (10 vol% GMB),primary,other_thermoset,Sylgard 184 PDMS silicone (100:10 base resin:curing agent),glass_microballoon,3M A16-500 borosilicate glass bubbles,,60.0,0.9667,0.1,0.018,mechanical_mixing_cast,71.0,,,,,,compression,0.15,25.0,,,,,,,,,,,,,,,0.85,
W2802757567-001,W2802757567,100:10:4.38 (20 vol% GMB),primary,other_thermoset,Sylgard 184 PDMS silicone (100:10 base resin:curing agent),glass_microballoon,3M A16-500 borosilicate glass bubbles,,60.0,0.9667,0.2,0.038,mechanical_mixing_cast,71.0,,,,,,compression,0.15,25.0,,,,,,,,,,,,,,,0.85,
W2802757567-002,W2802757567,100:10:7.38 (30 vol% GMB),primary,other_thermoset,Sylgard 184 PDMS silicone (100:10 base resin:curing agent),glass_microballoon,3M A16-500 borosilicate glass bubbles,,60.0,0.9667,0.3,0.063,mechanical_mixing_cast,71.0,,,,,,compression,0.15,25.0,,,,,,,,,,,,,,,0.85,
W2802757567-003,W2802757567,100:10:10 (37 vol% GMB),primary,other_thermoset,Sylgard 184 PDMS silicone (100:10 base resin:curing agent),glass_microballoon,3M A16-500 borosilicate glass bubbles,,60.0,0.9667,0.37,0.091,mechanical_mixing_cast,71.0,,,,,,compression,0.15,25.0,,,,,,,,,,,,,,,0.85,
W2802757567-004,W2802757567,100:10:14.7 (46.2 vol% GMB),primary,other_thermoset,Sylgard 184 PDMS silicone (100:10 base resin:curing agent),glass_microballoon,3M A16-500 borosilicate glass bubbles,,60.0,0.9667,0.462,0.118,mechanical_mixing_cast,71.0,,,,,,compression,0.15,25.0,,,,,,,,,,,,,,,0.85,
W4302024750-000,W4302024750,CM(I),primary,aluminum,Al7075-T (Al 7075-T6 reference properties),ceramic_hollow,"ceramic microspheres, 25-75 um size range",,,,0.66,0.88,pressure_infiltration,,,2.388,,,,compression,0.00083,25.0,,3220.0,179.0,,,175.0,0.36,1348.4087102177555,74.95812395309883,,,,,,0.85,
W4302024750-001,W4302024750,CM(II),primary,aluminum,Al7075-T,ceramic_hollow,"ceramic microspheres, 100-250 um size range",,,,0.66,0.88,pressure_infiltration,,,2.321,,,,compression,0.00083,25.0,,2830.0,167.0,,,150.0,0.41,1219.3020249892286,71.95174493752693,,,,,,0.85,
W4302024750-002,W4302024750,CM(III),primary,aluminum,Al7075-T,ceramic_hollow,"ceramic microspheres, 250-500 um size range",,,,0.66,0.88,pressure_infiltration,,,2.25,,,,compression,0.00083,25.0,,2450.0,160.0,,,148.0,0.43,1088.888888888889,71.11111111111111,,,,,,0.85,
W4302024750-003,W4302024750,CM(IV),primary,aluminum,Al7075-T,ceramic_hollow,,,,,,,pressure_infiltration,,,1.79,,,,compression,0.00083,25.0,,2400.0,130.0,,,128.0,0.43,1340.782122905028,72.62569832402235,,,,,,0.8,
W4302024750-004,W4302024750,CM(V),primary,aluminum,Al7075-T,ceramic_hollow,,,,,,,pressure_infiltration,,,1.68,,,,compression,0.00083,25.0,,2250.0,101.0,,,78.0,0.44,1339.2857142857144,60.11904761904762,,,,,,0.8,
W4302024750-005,W4302024750,CM(VI),primary,aluminum,Al7075-T,ceramic_hollow,,,,,,,pressure_infiltration,,,1.585,,,,compression,0.00083,25.0,,2100.0,75.0,,,65.0,0.5,1324.9211356466876,47.31861198738171,,,,,,0.8,
W4302024750-006,W4302024750,CM(I)1,primary,aluminum,Al7075-T,ceramic_hollow,"ceramic microspheres, 25-75 um size range",,,,0.66,0.88,pressure_infiltration,,,,,,,compression,1578.0,25.0,,14220.0,601.4,,,,,,,,,,,,0.85,
W4302024750-007,W4302024750,CM(I)2,primary,aluminum,Al7075-T,ceramic_hollow,"ceramic microspheres, 25-75 um size range",,,,0.66,0.88,pressure_infiltration,,,,,,,compression,1547.0,25.0,,13950.0,574.9,,,,,,,,,,,,0.85,
W4302024750-008,W4302024750,CM(II)1,primary,aluminum,Al7075-T,ceramic_hollow,"ceramic microspheres, 100-250 um size range",,,,0.66,0.88,pressure_infiltration,,,,,,,compression,1517.0,25.0,,13160.0,487.9,,,,,,,,,,,,0.85,
W4302024750-009,W4302024750,CM(II)2,primary,aluminum,Al7075-T,ceramic_hollow,"ceramic microspheres, 100-250 um size range",,,,0.66,0.88,pressure_infiltration,,,,,,,compression,1273.0,25.0,,12870.0,461.0,,,,,,,,,,,,0.85,
W4302024750-010,W4302024750,CM(III)1,primary,aluminum,Al7075-T,ceramic_hollow,"ceramic microspheres, 250-500 um size range",,,,0.66,0.88,pressure_infiltration,,,,,,,compression,1263.0,25.0,,11930.0,265.0,,,,,,,,,,,,0.85,
W4302024750-011,W4302024750,CM(III)2,primary,aluminum,Al7075-T,ceramic_hollow,"ceramic microspheres, 250-500 um size range",,,,0.66,0.88,pressure_infiltration,,,,,,,compression,882.0,25.0,,9040.0,203.0,,,,,,,,,,,,0.85,
